sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
833,W9008,Rensjöhonan,2000,1999,W9008_2000,W9008_1999,F,1986,14,WithCubs,-22.9,3.92,2.62,111,61,4/28/2000,4,2,5.42
267,W9008,Rensjöhonan,2002,2001,W9008_2002,W9008_2001,F,1986,16,WithCubs,-23.07,3.99,2.64,96,63,4/24/2002,4,1,3.72
217,W9011,Sjölibjörn,2000,1999,W9011_2000,W9011_1999,M,1984,16,SolitaryM,-23.02,7.25,3.6,201,75,4/9/2000,4,1,2.78
268,W9011,Sjölibjörn,2002,2001,W9011_2002,W9011_2001,M,1984,18,SolitaryM,-23.47,8.42,3.95,219,79,4/10/2002,4,1,2.39
410,W9011,Sjölibjörn,2005,2004,W9011_2005,W9011_2004,M,1984,21,SolitaryM,-23.6,8.39,3.94,NA,78,5/19/2005,5,1,1.7
111,W9101,Griffel,1992,1991,W9101_1992,W9101_1991,F,1990,2,SolitaryF,NA,NA,NA,26,42,4/12/1992,4,1,2.03
94,W9101,Griffel,1994,1993,W9101_1994,W9101_1993,F,1990,4,SolitaryF,NA,NA,NA,54.5,54,4/26/1994,4,1,1.86
78,W9101,Griffel,1995,1994,W9101_1995,W9101_1994,F,1990,5,SolitaryF,NA,NA,NA,71,56,4/22/1995,4,1,2.39
8,W9101,Griffel,1997,1996,W9101_1997,W9101_1996,F,1990,7,SolitaryF,-22.38,4.66,2.84,80,55,4/28/1997,4,1,0.65
125,W9101,Griffel,1998,1997,W9101_1998,W9101_1997,F,1990,8,WithCubs,-22.81,4.09,2.67,95,62,4/14/1998,4,1,2.03
837,W9101,Griffel,2001,2000,W9101_2001,W9101_2000,F,1990,11,WithCubs,-22.51,4.29,2.73,93,61,4/25/2001,4,2,9.62
324,W9101,Griffel,2003,2002,W9101_2003,W9101_2002,F,1990,13,WithCubs,-22.57,4.6,2.82,81,61,4/23/2003,4,1,4.39
411,W9101,Griffel,2005,2004,W9101_2005,W9101_2004,F,1990,15,WithCubs,-23.15,4.46,2.78,106,64,4/16/2005,4,1,1.91
NA,W9101,Griffel,2009,2008,W9101_2009,W9101_2008,F,1990,19,SolitaryF,NA,NA,NA,NA,NA,NA,13,NA,NA
79,W9202,Rivsjö,1995,1994,W9202_1995,W9202_1994,M,1991,4,SolitaryM,NA,NA,NA,63,57,5/1/1995,5,1,2.21
